budget_year,account_type,department,fund_code,account_category,amount,fund_type
2017,Expense,Public Works & Utilities,2700,,91.2,100
2017,Expense,Park,2599,,110,100
2017,Expense,Park,2917,,25,100
2017,Expense,Public Works & Utilities,2806,,25,100
2017,Expense,Public Works & Utilities,2904,,1,100
2017,Expense,Public Works & Utilities,2906,,1,100
2017,Expense,Public Works & Utilities,2917,,18,100
2017,Expense,Public Works & Utilities,3103,,7.5,100
2017,Expense,Public Works & Utilities,3405,,18.57,100
2017,Expense,Public Works & Utilities,3499,,1,100
2017,Expense,Public Works & Utilities,3803,,3,100
2017,Expense,Public Works & Utilities,3899,,15,100
2017,Expense,Public Works & Utilities,3904,,1,100
2017,Expense,Public Works & Utilities,1100,,3257.95,100
2017,Expense,Public Works & Utilities,1101,,28.2,100
2017,Expense,Public Works & Utilities,1190,,18.89,100
2017,Expense,Public Works & Utilities,1208,,12,100
2017,Expense,Public Works & Utilities,1400,,251.39,100
2017,Expense,Public Works & Utilities,1401,,404.2,100
2017,Expense,Park,2207,,3.5,100
2017,Expense,Park,2215,,11.16,100
2017,Expense,Park,2302,,2.5,100
2017,Expense,Park,2400,,31.37,100
2017,Expense,Park,2401,,5.3,100
2017,Expense,Park,2500,,3.5,100
2017,Expense,Park,2516,,5,100
2017,Expense,Park,2519,,3.15,100
2017,Expense,Park,2543,,9.6,100
2017,Expense,Park,2599,,16.4,100
2017,Expense,Park,2600,,11.55,100
2017,Expense,Park,2700,,141.6,100
2017,Expense,Park,2702,,6.15,100
2017,Expense,Park,2999,,887.66,100
2017,Expense,Transit,3999,,30,520
2017,Expense,Public Works & Utilities,2101,,140.58,100
2017,Expense,Information Tech/Info Services,1405,,1245.87,600
2017,Expense,Metro Area Bldg & Construction,2900,,550.49,235
2017,Expense,Airport,2299,,7.5,500
2017,Revenue,,7156,Licenses,72.65,100
2017,Expense,Park,2706,,0.45,100
2017,Expense,Park,2799,,9,100
2017,Expense,Park,2916,,0.5,100
2017,Expense,Park,2917,,6.5,100
2017,Expense,Park,3103,,5,100
2017,Expense,Public Works & Utilities,1406,,2.32,100
2017,Expense,Public Works & Utilities,2200,,1.14,100
2017,Expense,Park,2102,,44.79,100
2017,Expense,Park,2700,,45.6,100
2017,Expense,Park,3200,,7,100
2017,Expense,Park,3902,,0.54,100
2017,Expense,Park,3999,,14.93,100
2017,Expense,Park,5400,,12.3,100
2017,Expense,Park,2100,,2.67,100
2017,Expense,Park,2104,,58.96,100
2017,Expense,Park,2400,,21.76,100
2017,Expense,Park,1200,,181.3,100
2017,Expense,Park,1400,,13.87,100
2017,Expense,Park,1403,,3.94,100
2017,Expense,Park,1404,,0.36,100
2017,Expense,Park,2104,,136.54,100
2017,Expense,Park,2215,,3.72,100
2017,Expense,Park,2400,,58.35,100
2017,Expense,Park,2599,,8.53,100
2017,Expense,Park,2917,,1.6,100
2017,Expense,Park,3103,,0.53,100
2017,Expense,Park,3299,,6.93,100
2017,Expense,Park,3301,,78.94,100
2017,Expense,Park,3299,,40,100
2017,Expense,Park,3599,,10,100
2017,Expense,Park,3816,,7.5,100
2017,Expense,Park,3903,,20,100
2017,Expense,Park,3999,,100,100
2017,Expense,Park,1200,,545.69,100
2017,Expense,Park,1400,,41.75,100
2017,Expense,Park,1403,,11.87,100
2017,Expense,Park,1404,,1.09,100
2017,Expense,Park,2207,,3,100
2017,Expense,Park,2399,,253.14,100
2017,Expense,Park,2500,,31,100
2017,Expense,Public Works & Utilities,2999,,7,100
2017,Expense,Public Works & Utilities,3101,,15,100
2017,Expense,Public Works & Utilities,3103,,0.7,100
2017,Expense,Public Works & Utilities,3299,,3.5,100
2017,Expense,Public Works & Utilities,3400,,200,100
2017,Expense,Public Works & Utilities,3403,,1,100
2017,Expense,Public Works & Utilities,3405,,448.5,100
2017,Expense,Public Works & Utilities,3406,,4,100
2017,Expense,Public Works & Utilities,3407,,3500,100
2017,Expense,Public Works & Utilities,3499,,30,100
2017,Expense,Public Works & Utilities,3500,,750,100
2017,Expense,Public Works & Utilities,3599,,50,100
2017,Expense,Public Works & Utilities,3804,,3.5,100
2017,Expense,Public Works & Utilities,3805,,2.5,100
2017,Expense,Public Works & Utilities,3815,,1,100
2017,Expense,Public Works & Utilities,3899,,7.5,100
2017,Expense,City Manager,2803,,450,238
2017,Expense,City Manager,2805,,120,238
2017,Expense,City Manager,2916,,6,238
2017,Expense,City Manager,3700,,132,238
2017,Expense,City Manager,2100,,598,238
2017,Expense,Transit,1100,,2257.8,520
2017,Expense,Transit,1101,,14.04,520
2017,Expense,Transit,1400,,173.8,520
2017,Expense,Transit,1401,,268.68,520
2017,Expense,Transit,1403,,91.21,520
2017,Expense,Transit,1404,,4.54,520
2017,Expense,Public Works & Utilities,2100,,18.85,265
2017,Expense,Public Works & Utilities,2106,,15,265
2017,Expense,Public Works & Utilities,2200,,2.28,100
2017,Expense,Transit,1405,,502.09,520
2017,Expense,Park,2599,,90.5,100
2017,Expense,Park,2801,,75.9,100
2017,Expense,Park,2917,,23.75,100
2017,Expense,Public Works & Utilities,5200,,46650,540
2017,Expense,Public Works & Utilities,5202,,126162.59,540
2017,Expense,Public Works & Utilities,5203,,49837.25,540
2017,Expense,Public Works & Utilities,5205,,91401.07,540
2017,Expense,Public Works & Utilities,5206,,18000,540
2017,Expense,Public Works & Utilities,5211,,17500,540
2017,Expense,Public Works & Utilities,5215,,79764.17,540
2017,Expense,Public Works & Utilities,5216,,3500,540
2017,Expense,Public Works & Utilities,5219,,1000,540
2017,Expense,Public Works & Utilities,5300,,20000,540
2017,Expense,Public Works & Utilities,5307,,43969.14,540
2017,Expense,Public Works & Utilities,5351,,350,540
2017,Expense,Public Works & Utilities,1100,,8303.75,540
2017,Expense,Public Works & Utilities,1101,,202.8,540
2017,Expense,Public Works & Utilities,2102,,234.78,100
2017,Expense,Public Works & Utilities,2104,,246.08,100
2017,Expense,Public Works & Utilities,2107,,12.5,100
2017,Expense,Public Works & Utilities,2200,,27.36,100
2017,Expense,Public Works & Utilities,2201,,36.6,100
2017,Expense,Public Works & Utilities,2203,,1,100
2017,Expense,Public Works & Utilities,2206,,0.48,100
2017,Expense,Public Works & Utilities,2207,,0.75,100
2017,Expense,Public Works & Utilities,2214,,4.2,100
2017,Expense,Public Works & Utilities,2215,,33.48,100
2017,Expense,Public Works & Utilities,2216,,5.88,100
2017,Expense,Public Works & Utilities,2301,,5,100
2017,Expense,Public Works & Utilities,2302,,6,100
2017,Expense,Public Works & Utilities,2303,,2.5,100
2017,Expense,Public Works & Utilities,2308,,3,100
2017,Expense,Public Works & Utilities,2399,,2,100
2017,Expense,Public Works & Utilities,2400,,47.89,100
2017,Expense,Public Works & Utilities,2401,,662.4,100
2017,Expense,Public Works & Utilities,2501,,6,100
2017,Expense,Public Works & Utilities,2502,,17.5,100
2017,Expense,Public Works & Utilities,2505,,5.5,100
2017,Expense,Public Works & Utilities,2519,,8,100
2017,Expense,Public Works & Utilities,2599,,80,100
2017,Expense,Public Works & Utilities,2600,,412.51,100
2017,Expense,Public Works & Utilities,2601,,80,100
2017,Expense,Public Works & Utilities,2700,,7752,100
2017,Expense,Public Works & Utilities,2703,,30,100
2017,Expense,Public Works & Utilities,2705,,12.5,100
2017,Expense,Information Tech/Info Services,1406,,23.82,600
2017,Expense,Information Tech/Info Services,1500,,942.52,600
2017,Expense,Information Tech/Info Services,2207,,0.12,600
2017,Expense,Information Tech/Info Services,2211,,0.48,600
2017,Expense,Information Tech/Info Services,2301,,5,600
2017,Expense,Information Tech/Info Services,2302,,10,600
2017,Expense,Information Tech/Info Services,2303,,50,600
2017,Expense,Information Tech/Info Services,2308,,5,600
2017,Expense,Information Tech/Info Services,2599,,3.5,600
2017,Expense,Information Tech/Info Services,2601,,282.47,600
2017,Expense,Information Tech/Info Services,2701,,41,600
2017,Expense,Information Tech/Info Services,2906,,3.4,600
2017,Expense,Information Tech/Info Services,2917,,9.5,600
2017,Expense,Information Tech/Info Services,2922,,40,600
2017,Expense,Information Tech/Info Services,3101,,10,600
2017,Expense,Information Tech/Info Services,3103,,2,600
2017,Expense,Information Tech/Info Services,3200,,23,600
2017,Expense,Information Tech/Info Services,3804,,20,600
2017,Expense,Information Tech/Info Services,3812,,1.5,600
2017,Expense,Information Tech/Info Services,1100,,7905.76,600
2017,Expense,Information Tech/Info Services,1101,,47.4,600
2017,Expense,Public Works & Utilities,2216,,2.52,540
2017,Expense,Public Works & Utilities,2300,,2.5,540
2017,Expense,Public Works & Utilities,2500,,130,540
2017,Expense,Public Works & Utilities,2502,,1,540
2017,Expense,Public Works & Utilities,2504,,1100,540
2017,Expense,Public Works & Utilities,2505,,2000,540
2017,Expense,Public Works & Utilities,2509,,1.25,540
2017,Expense,Public Works & Utilities,3199,,8.5,540
2017,Expense,Public Works & Utilities,3804,,25,540
2017,Expense,Public Works & Utilities,3904,,1.25,540
2017,Expense,Public Works & Utilities,3980,,30.9,540
2017,Expense,Public Works & Utilities,3103,,102,530
2017,Expense,Information Tech/Info Services,2100,,216.2,600
2017,Expense,Information Tech/Info Services,2203,,0.75,600
2017,Expense,Information Tech/Info Services,2207,,1.5,600
2017,Expense,Information Tech/Info Services,2211,,3,600
2017,Expense,Information Tech/Info Services,2301,,30,600
2017,Expense,Information Tech/Info Services,1100,,4227.57,600
2017,Expense,Information Tech/Info Services,1101,,35.4,600
2017,Expense,Information Tech/Info Services,1190,,11.61,600
2017,Expense,Information Tech/Info Services,1400,,326.12,600
2017,Expense,Information Tech/Info Services,1401,,524.34,600
2017,Expense,Police Department,3103,,8.15,100
2017,Expense,Metro Area Bldg & Construction,2902,,61.19,235
2017,Expense,Metro Area Bldg & Construction,2917,,80,235
2017,Expense,Metro Area Bldg & Construction,3405,,127.84,235
2017,Expense,Metro Area Bldg & Construction,3500,,30,235
2017,Expense,Metro Area Bldg & Construction,3999,,10,235
2017,Expense,Department of Finance,2502,,407.5,620
2017,Expense,Department of Finance,3804,,10.25,100
2017,Expense,Public Works & Utilities,2302,,3,100
2017,Expense,Public Works & Utilities,2303,,1,100
2017,Expense,Public Works & Utilities,2308,,1.5,100
2017,Expense,Public Works & Utilities,2400,,194.58,100
2017,Expense,Public Works & Utilities,2401,,4.8,100
2017,Expense,Public Works & Utilities,1199,,454.43,265
2017,Expense,Public Works & Utilities,1204,,27,265
2017,Expense,Public Works & Utilities,1208,,12,265
2017,Expense,Public Works & Utilities,1400,,614.61,265
2017,Expense,Public Works & Utilities,1401,,988.2,265
2017,Expense,Public Works & Utilities,1403,,191.21,265
2017,Expense,Public Works & Utilities,1404,,16.07,265
2017,Expense,Public Works & Utilities,1405,,2422.11,265
2017,Expense,Public Works & Utilities,1406,,31.41,265
2017,Expense,Public Works & Utilities,1499,,23.31,265
2017,Expense,Information Tech/Info Services,2202,,27.5,600
2017,Expense,Information Tech/Info Services,2203,,200,600
2017,Expense,Information Tech/Info Services,2204,,750,600
2017,Expense,Information Tech/Info Services,2206,,100,600
2017,Expense,Information Tech/Info Services,2207,,0.15,600
2017,Expense,Information Tech/Info Services,2211,,1,600
2017,Expense,Information Tech/Info Services,2214,,1899.4,600
2017,Expense,Information Tech/Info Services,2215,,940,600
2017,Expense,Information Tech/Info Services,2399,,10,600
2017,Expense,Information Tech/Info Services,2601,,2345.48,600
2017,Expense,Information Tech/Info Services,2701,,5,600
2017,Expense,Information Tech/Info Services,2917,,2,600
2017,Expense,Information Tech/Info Services,3812,,50,600
2017,Expense,Fire Department,1100,,5169.61,100
2017,Expense,Fire Department,1101,,59.16,100
2017,Expense,Fire Department,1190,,31.05,100
2017,Expense,Fire Department,1208,,24,100
2017,Expense,Fire Department,1400,,93.67,100
2017,Expense,Park,3901,,0.54,100
2017,Expense,Park,3902,,0.54,100
2017,Expense,Park,3999,,5.33,100
2017,Expense,Park,5400,,12.3,100
2017,Expense,Park,1200,,181.3,100
2017,Expense,Park,1400,,13.87,100
2017,Expense,Park,1403,,3.94,100
2017,Expense,Park,1404,,0.36,100
2017,Expense,Park,2100,,28.8,100
2017,Expense,Park,2104,,73.85,100
2017,Expense,Park,2215,,3.72,100
2017,Expense,Park,2400,,32.29,100
2017,Expense,Park,2599,,8.53,100
2017,Expense,Park,2917,,1.6,100
2017,Expense,Park,2999,,0.53,100
2017,Expense,Park,3103,,0.54,100
2017,Expense,Park,3299,,6.94,100
2017,Expense,Park,3301,,64,100
2017,Expense,Park,3901,,0.54,100
2017,Expense,Park,3902,,0.54,100
2017,Expense,Park,3999,,4.27,100
2017,Expense,Park,5400,,12.3,100
2017,Expense,Park,1200,,282.7,100
2017,Expense,Park,1400,,21.63,100
2017,Expense,Park,1403,,6.15,100
2017,Expense,Park,1404,,0.57,100
2017,Expense,Park,2100,,49.07,100
2017,Expense,Park,2104,,43.2,100
2017,Expense,Airport,3200,,5,500
2017,Expense,Airport,3400,,5,500
2017,Expense,Airport,3404,,20,500
2017,Expense,Airport,3804,,200,500
2017,Expense,Airport,3805,,20,500
2017,Expense,Airport,3902,,0.5,500
2017,Expense,Airport,3903,,132.5,500
2017,Expense,Airport,3999,,178,500
2017,Expense,Airport,5200,,28789.02,500
2017,Expense,Airport,5203,,56702.6,500
2017,Expense,Airport,5211,,1931.16,500
2017,Expense,Airport,5350,,145.58,500
2017,Expense,Airport,1100,,8189.97,500
2017,Expense,Airport,1101,,132.72,500
2017,Expense,Airport,1104,,2,500
2017,Expense,Airport,1190,,66.04,500
2017,Expense,Airport,1199,,360,500
2017,Expense,Airport,1208,,6,500
2017,Expense,Airport,1300,,35,500
2017,Expense,Airport,1400,,631.08,500
2017,Expense,Airport,1401,,1014.67,500
2017,Expense,Airport,1403,,187.3,500
2017,Expense,Airport,1404,,16.5,500
2017,Expense,Airport,1405,,2342.26,500
2017,Expense,Airport,1406,,32.32,500
2017,Expense,Airport,1409,,96.5,500
2017,Expense,Airport,2200,,35.4,500
2017,Revenue,,7157,Licenses,257.53,100
2017,Revenue,,7158,Licenses,64,100
2017,Revenue,,7159,Licenses,224.6,100
2017,Revenue,,7161,Licenses,103.8,100
2017,Revenue,,7170,Licenses,16.4,100
2017,Revenue,,7171,Licenses,1.75,100
2017,Revenue,,7172,Licenses,3.1,100
2017,Revenue,,7175,Licenses,1,100
2017,Revenue,,7180,Licenses,110,100
2017,Revenue,,7181,Licenses,63.75,100
2017,Revenue,,7182,Licenses,52,100
2017,Revenue,,7193,Licenses,12.6,100
2017,Revenue,,7194,Licenses,26.45,100
2017,Revenue,,7199,Licenses,90,100
2017,Revenue,,8051,Intergovernmental,20829.03,100
2017,Revenue,,9000,Charges for services and sales,122,100
2017,Revenue,,9005,Charges for services and sales,0.8,100
2017,Revenue,,9049,Charges for services and sales,78371.39,100
2017,Revenue,,9089,Charges for services and sales,3000,100
2017,Revenue,,9250,Charges for services and sales,2000,100
2017,Revenue,,9812,Other revenue,500,100
2017,Revenue,,9600,Rental income,5,100
2017,Revenue,,9602,Rental income,144.25,100
2017,Revenue,,9710,Non-operating revenue,2116,620
2017,Revenue,,7600,Fines and penalties,13000,100
2017,Revenue,,7601,Fines and penalties,2750,100
2017,Revenue,,7602,Fines and penalties,2000,100
2017,Revenue,,7603,Fines and penalties,1300,100
2017,Expense,Public Works & Utilities,1100,,2902.45,100
2017,Expense,Public Works & Utilities,1101,,17.16,100
2017,Expense,Public Works & Utilities,2500,,1.1,100
2017,Expense,Fire Department,1401,,35.4,100
2017,Expense,CMO - Cultural Arts Division,1400,,164.8,100
2017,Expense,Public Works & Utilities,5401,,500,540
2017,Expense,Park,2215,,3.72,100
2017,Expense,Airport,2203,,0.3,500
2017,Revenue,,7604,Fines and penalties,2900,100
2017,Revenue,,7605,Fines and penalties,950,100
2017,Revenue,,7606,Fines and penalties,550,100
2017,Revenue,,7607,Fines and penalties,850,100
2017,Revenue,,7608,Fines and penalties,40,100
2017,Revenue,,7665,Fines and penalties,1400,100
2017,Revenue,,7667,Fines and penalties,1350,100
2017,Revenue,,7672,Fines and penalties,620,100
2017,Revenue,,7675,Fines and penalties,85,100
2017,Revenue,,7678,Fines and penalties,670,100
2017,Revenue,,7679,Fines and penalties,620,100
2017,Revenue,,7681,Fines and penalties,40,100
2017,Revenue,,7683,Fines and penalties,1600,100
2017,Expense,Public Works & Utilities,2514,,7.5,100
2017,Expense,Public Works & Utilities,2600,,46.2,100
2017,Expense,Public Works & Utilities,2700,,21.6,100
2017,Expense,Public Works & Utilities,2701,,1,100
2017,Expense,Public Works & Utilities,2906,,1.5,100
2017,Expense,Public Works & Utilities,2917,,14,100
2017,Expense,Public Works & Utilities,3101,,1.5,100
2017,Expense,Public Works & Utilities,3103,,5,100
2017,Expense,Public Works & Utilities,3405,,5.17,100
2017,Expense,Public Works & Utilities,3599,,0.5,100
2017,Expense,Public Works & Utilities,3904,,0.5,100
2017,Expense,Public Works & Utilities,3999,,10,100
2017,Expense,Public Works & Utilities,1100,,1279.05,100
2017,Expense,Public Works & Utilities,1101,,18.96,100
2017,Expense,Transit,1406,,9.03,520
2017,Expense,Transit,2200,,6.84,520
2017,Expense,Transit,2201,,9.6,520
2017,Expense,Transit,2203,,1.88,520
2017,Expense,Transit,2207,,55,520
2017,Expense,Transit,2216,,1.68,520
2017,Expense,Transit,2400,,91.35,520
2017,Expense,Transit,2401,,188.6,520
2017,Expense,Transit,2502,,2,520
2017,Expense,Transit,2600,,34.65,520
2017,Expense,Transit,2910,,5633.04,520
2017,Expense,Transit,2917,,35,520
2017,Expense,Transit,3103,,18,520
2017,Expense,Transit,3200,,75,520
2017,Expense,Fire Department,1402,,948.67,100
2017,Expense,Fire Department,1403,,172.57,100
2017,Expense,Fire Department,1404,,10.46,100
2017,Expense,Fire Department,1405,,636.62,100
2017,Expense,Fire Department,1406,,20.68,100
2017,Expense,Fire Department,1100,,78172.05,100
2017,Expense,Fire Department,1101,,1067.52,100
2017,Expense,Fire Department,1102,,279,100
2017,Expense,Fire Department,1105,,275,100
2017,Expense,Fire Department,1190,,539.66,100
2017,Expense,Fire Department,1204,,856,100
2017,Expense,Fire Department,1206,,500,100
2017,Expense,Fire Department,1208,,14,100
2017,Expense,Fire Department,1300,,890,100
2017,Expense,Fire Department,1303,,4092.11,100
2017,Expense,Fire Department,1400,,1232.86,100
2017,Expense,Fire Department,1402,,16371.18,100
2017,Expense,Fire Department,1403,,2815.55,100
2017,Expense,Fire Department,1404,,170.05,100
2017,Expense,Fire Department,1405,,18660.72,100
2017,Expense,Fire Department,1406,,299.83,100
2017,Expense,Fire Department,1500,,583.33,100
2017,Expense,Fire Department,1100,,77471.43,100
2017,Expense,Fire Department,1101,,968.16,100
2017,Expense,Fire Department,1102,,276,100
2017,Expense,Fire Department,1105,,275,100
2017,Expense,Fire Department,1190,,612.42,100
2017,Expense,Fire Department,1204,,862.5,100
2017,Expense,CMO - Cultural Arts Division,1401,,184.96,100
2017,Expense,CMO - Cultural Arts Division,1403,,53.68,100
2017,Expense,CMO - Cultural Arts Division,1404,,4.31,100
2017,Expense,CMO - Cultural Arts Division,1405,,162.88,100
2017,Expense,CMO - Cultural Arts Division,1406,,6.2,100
2017,Expense,CMO - Cultural Arts Division,2207,,50,100
2017,Expense,CMO - Cultural Arts Division,2216,,0.84,100
2017,Expense,CMO - Cultural Arts Division,2302,,10,100
2017,Expense,CMO - Cultural Arts Division,2308,,5,100
2017,Expense,CMO - Cultural Arts Division,2399,,3,100
2017,Expense,CMO - Cultural Arts Division,2519,,5,100
2017,Expense,CMO - Cultural Arts Division,2543,,760,100
2017,Expense,CMO - Cultural Arts Division,2600,,707.97,100
2017,Expense,CMO - Cultural Arts Division,2601,,62.05,100
2017,Expense,Public Works & Utilities,3899,,20,100
2017,Expense,Park,1101,,29.88,100
2017,Expense,Park,2100,,19.2,100
2017,Expense,Park,2104,,54.05,100
2017,Expense,Park,2215,,3.72,100
2017,Expense,Park,2400,,5.46,100
2017,Expense,Park,2599,,17.07,100
2017,Expense,Park,2916,,0.13,100
2017,Expense,Park,2917,,1.6,100
2017,Expense,Park,3103,,0.53,100
2017,Expense,Park,3299,,6.93,100
2017,Expense,Park,3301,,78.94,100
2017,Expense,Park,3901,,0.53,100
2017,Expense,Park,3902,,0.53,100
2017,Expense,Park,3999,,12.8,100
2017,Expense,Park,5400,,12.3,100
2017,Expense,Park,2400,,48.71,100
2017,Expense,Park,1200,,138.7,100
2017,Expense,Park,1400,,10.61,100
2017,Expense,Park,1403,,3.02,100
2017,Expense,Park,1404,,0.28,100
2017,Expense,Park,2104,,131.39,100
2017,Expense,Park,2215,,3.72,100
2017,Expense,Park,2400,,26.39,100
2017,Expense,Park,2599,,4.27,100
2017,Expense,Park,2917,,1.6,100
2017,Expense,Park,3103,,0.53,100
2017,Expense,Park,3299,,6.93,100
2017,Expense,Park,3301,,53.33,100
2017,Expense,Public Works & Utilities,1190,,2.19,100
2017,Expense,Police Department,1400,,374.24,100
2017,Expense,Fire Department,1402,,16217.58,100
2017,Expense,City Manager,2104,,11,238
2017,Expense,Public Works & Utilities,3200,,84,530
2017,Expense,Public Works & Utilities,3301,,11500,530
2017,Expense,Public Works & Utilities,3399,,10,530
2017,Expense,Public Works & Utilities,3400,,9250,530
2017,Expense,Public Works & Utilities,3402,,30,530
2017,Expense,Public Works & Utilities,3403,,710,530
2017,Expense,Public Works & Utilities,3405,,1155.01,530
2017,Expense,Public Works & Utilities,3499,,300,530
2017,Expense,Public Works & Utilities,3500,,21,530
2017,Expense,Public Works & Utilities,3515,,3,530
2017,Expense,Public Works & Utilities,3599,,25,530
2017,Expense,Airport,3805,,45,500
2017,Expense,Airport,3810,,26.15,500
2017,Expense,Airport,3899,,25,500
2017,Expense,Airport,3902,,15,500
2017,Expense,Airport,3903,,4.5,500
2017,Expense,Airport,3999,,82.8,500
2017,Expense,Airport,1100,,910,500
2017,Expense,Airport,1104,,50,500
2017,Expense,Airport,1190,,14.52,500
2017,Expense,Airport,1199,,95,500
2017,Expense,Airport,1300,,1200,500
2017,Expense,Airport,1400,,131.8,500
2017,Expense,Airport,1401,,195.3,500
2017,Expense,Public Works & Utilities,2600,,24.26,605
2017,Expense,City Manager,2540,,616.8,238
2017,Expense,Airport,1403,,36.78,500
2017,Expense,Park,3899,,20,100
2017,Expense,Park,3901,,10,100
2017,Expense,Park,3902,,6,100
2017,Expense,Information Tech/Info Services,2302,,36.95,600
2017,Expense,Information Tech/Info Services,2303,,75,600
2017,Expense,Information Tech/Info Services,2308,,12,600
2017,Expense,Information Tech/Info Services,2310,,0.2,600
2017,Expense,Information Tech/Info Services,2507,,23.12,600
2017,Expense,Information Tech/Info Services,2599,,300,600
2017,Expense,Information Tech/Info Services,2601,,434.28,600
2017,Expense,Information Tech/Info Services,2701,,1,600
2017,Expense,Information Tech/Info Services,2703,,8,600
2017,Expense,Information Tech/Info Services,2900,,4083.17,600
2017,Expense,Information Tech/Info Services,2902,,0.5,600
2017,Expense,Information Tech/Info Services,2904,,2,600
2017,Expense,Information Tech/Info Services,2905,,2,600
2017,Expense,Information Tech/Info Services,2906,,95,600
2017,Expense,Information Tech/Info Services,2917,,385,600
2017,Expense,Information Tech/Info Services,2922,,0.75,600
2017,Expense,Information Tech/Info Services,3101,,10,600
2017,Expense,Information Tech/Info Services,3103,,24,600
2017,Expense,Information Tech/Info Services,3804,,60,600
2017,Expense,Information Tech/Info Services,3805,,60,600
2017,Expense,Information Tech/Info Services,3999,,145,600
2017,Expense,Information Tech/Info Services,5333,,802.74,600
2017,Expense,Public Works & Utilities,1199,,1741.47,100
2017,Expense,Public Works & Utilities,1208,,6,100
2017,Expense,Public Works & Utilities,1400,,223.35,100
2017,Expense,Public Works & Utilities,1401,,359.11,100
2017,Expense,Public Works & Utilities,1403,,69.49,100
2017,Expense,Public Works & Utilities,1404,,5.84,100
2017,Expense,Public Works & Utilities,1405,,498.59,100
2017,Expense,Public Works & Utilities,1406,,11.61,100
2017,Expense,Public Works & Utilities,1499,,435.37,100
2017,Expense,Public Works & Utilities,2200,,3.42,100
2017,Expense,Public Works & Utilities,2201,,7.5,100
2017,Expense,Public Works & Utilities,2216,,2.52,100
2017,Expense,Public Works & Utilities,2511,,250,100
2017,Expense,Public Works & Utilities,2600,,45.59,100
2017,Expense,Public Works & Utilities,2701,,2,100
2017,Expense,Public Works & Utilities,2917,,4,100
2017,Expense,Public Works & Utilities,3700,,40,100
2017,Expense,Public Works & Utilities,1100,,350,100
2017,Expense,Public Works & Utilities,1101,,10.2,100
2017,Expense,Public Works & Utilities,1190,,1.94,100
2017,Expense,Public Works & Utilities,2200,,2.28,605
2017,Expense,Public Works & Utilities,2201,,5.4,605
2017,Expense,Public Works & Utilities,2203,,0.2,605
2017,Expense,Public Works & Utilities,2204,,20,605
2017,Expense,Public Works & Utilities,2207,,0.25,605
2017,Expense,Public Works & Utilities,2215,,14.88,605
2017,Expense,Public Works & Utilities,2505,,50,605
2017,Expense,Public Works & Utilities,2599,,2.5,605
2017,Expense,Police Department,1401,,125.58,100
2017,Expense,Police Department,1402,,3932.26,100
2017,Expense,Police Department,1403,,398.13,100
2017,Expense,Police Department,1404,,42.89,100
2017,Expense,Police Department,1405,,3838.12,100
2017,Expense,Police Department,1406,,79.18,100
2017,Expense,Police Department,2107,,2.5,100
2017,Expense,Police Department,2200,,38.76,100
2017,Expense,Police Department,2201,,30.3,100
2017,Expense,Police Department,2203,,4,100
2017,Expense,Police Department,2204,,4,100
2017,Expense,Police Department,2206,,166,100
2017,Expense,Police Department,2207,,4,100
2017,Expense,Police Department,2211,,2,100
2017,Expense,Police Department,2212,,10.3,100
2017,Expense,Police Department,2214,,21,100
2017,Expense,Police Department,2215,,3.72,100
2017,Expense,Police Department,2216,,9.24,100
2017,Expense,Public Works & Utilities,1400,,27.56,100
2017,Expense,Public Works & Utilities,1401,,44.3,100
2017,Expense,Public Works & Utilities,1403,,8.57,100
2017,Expense,Public Works & Utilities,1404,,0.72,100
2017,Expense,Public Works & Utilities,1405,,54.29,100
2017,Expense,Public Works & Utilities,1406,,1.4,100
2017,Expense,Public Works & Utilities,2599,,0.9,100
2017,Expense,Public Works & Utilities,2708,,1,100
2017,Expense,Public Works & Utilities,2803,,28.55,100
2017,Expense,Public Works & Utilities,2804,,0.5,100
2017,Expense,Public Works & Utilities,3403,,12.5,100
2017,Expense,Fire Department,1403,,2790.06,100
2017,Expense,Fire Department,1404,,168.5,100
2017,Expense,Fire Department,1405,,18276.01,100
2017,Expense,Fire Department,1406,,287.8,100
2017,Expense,Fire Department,1500,,583.33,100
2017,Expense,Fire Department,1100,,80987.94,100
2017,Expense,Fire Department,1101,,1113.96,100
2017,Expense,Fire Department,1102,,282,100
2017,Expense,Police Department,2400,,18.1,100
2017,Expense,Police Department,2401,,247.9,100
2017,Expense,Police Department,2600,,3025.28,100
2017,Expense,Police Department,2699,,62.51,100
2017,Expense,Police Department,2700,,6468,100
2017,Expense,Police Department,2702,,9.47,100
2017,Expense,Police Department,2703,,20,100
2017,Expense,Police Department,2799,,312,100
2017,Expense,Police Department,2802,,50,100
2017,Expense,Police Department,2906,,0.5,100
2017,Expense,Police Department,2917,,90,100
2017,Expense,Police Department,2922,,1.56,100
2017,Expense,Police Department,3103,,34,100
2017,Expense,Police Department,3300,,18,100
2017,Expense,Police Department,3405,,2439.03,100
2017,Expense,Police Department,3806,,10,100
2017,Expense,Police Department,3808,,14,100
2017,Expense,Police Department,3999,,18.4,100
2017,Expense,Police Department,1100,,1296.46,100
2017,Expense,Police Department,1101,,77.4,100
2017,Expense,City Manager,2204,,2.76,238
2017,Expense,City Manager,2215,,19.68,238
2017,Expense,City Manager,2540,,1123.2,238
2017,Expense,City Manager,2705,,50,238
2017,Expense,City Manager,2803,,47.34,238
2017,Expense,City Manager,2916,,0.5,238
